pop,V1,V2,V3,V4,V5,V6,V7,V8,V9
FrijolColorado,0.00001,0.00001,0.06162,0.00001,0.00001,0.93831,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.034457,0.00001,0.00001,0.965473,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.004809,0.00001,0.00001,0.995121,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.055473,0.00001,0.00001,0.944457,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.034005,0.00001,0.00001,0.965925,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.008915,0.00001,0.00001,0.947859,0.043167,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.033628,0.00001,0.00001,0.935161,0.031151,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001
FrijolColorado,0.00001,0.00001,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001
